feature,legit_mean,phish_mean,difference,importance
NoOfExternalRef,1.1281192728713656,85.29460140897294,84.16648213610158,0.19821100499847452
NoOfSelfRef,0.49603249294170093,113.41024100852799,112.9142085155863,0.18091819659923056
LineOfCode,65.73046708603695,1947.4916796440489,1881.761212558012,0.15557345984864254
NoOfImage,0.8664916538709198,44.94659992584353,44.08010827197261,0.10390343567143816
NoOfJS,0.8903363217593739,17.732532443455693,16.84219612169632,0.0776425066066626
HasSocialNet,0.005062162563772351,0.7945569150908417,0.7894947525270694,0.06635233415153528
NoOfCSS,0.4396156322750012,10.744820170559882,10.30520453828488,0.047375846271989486
HasCopyrightInfo,0.05733815444053693,0.8082387838338895,0.7509006293933526,0.04171445328222483
HasDescription,0.04416266283619793,0.7366332962550982,0.6924706334189002,0.041568179193402714
DomainTitleMatchScore,16.54820523637378,75.2709036280746,58.72269839170083,0.02205484784880981
LargestLineLength,20021.448244093317,7375.919555061179,12645.528689032137,0.02179377727079407
URLTitleMatchScore,21.198164255216216,75.2709036280746,54.07273937285839,0.010269711124543997
HasSubmitButton,0.08489771657833474,0.660882461994809,0.5759847454164743,0.008996565367914823
NoOfEmptyRef,0.15037891921343305,4.044886911383018,3.8945079921695847,0.008128830323985346
IsResponsive,0.3174600029719154,0.8543641082684464,0.5369041052965311,0.0037407973880152832
NoOfiFrame,0.0845807122690574,2.714534668149796,2.6299539558807385,0.0028035320923237303
HasPasswordField,0.05387091980781614,0.13848720800889877,0.08461628820108263,0.0022622629225680126
HasHiddenFields,0.09327851800485412,0.5907823507601038,0.4975038327552497,0.0019249864098626979
HasFavicon,0.0875724404378622,0.5670226177233963,0.47945017728553413,0.0018365503017424823
Bank,0.05434642627173213,0.18154245457916204,0.1271960283074299,0.0006064104469941684
NoOfURLRedirect,0.15169646837386697,0.11977011494252873,0.031926353431338234,0.000580083142298209
HasTitle,0.6775868046956264,0.9987541713014461,0.3211673666058197,0.00047552198317898486
Robots,0.06589727079102481,0.4167371153133111,0.3508398445222863,0.0004608598960547272
Pay,0.060191193224032886,0.36936596218020024,0.30917476895616736,0.00032994185819412735
NoOfPopup,0.00975778889494279,0.3804671857619577,0.37070939686701493,0.00022065118387905018
Crypto,0.006042894645599089,0.03652206154987023,0.03047916690427114,0.00016497749990700264
HasExternalFormSubmit,0.004269651790579028,0.07371894697812384,0.06944929518754481,7.069027385224339e-05
NoOfSelfRedirect,0.05744712467185101,0.027126436781609194,0.030320687890241813,1.9586041480502168e-05
